Item,Description,Quantity,Unit Price ($),Total Price ($),URL,,
ESP32 Dev Board,ESP32 microcontroller development board,1,9.99,9.99,https://www.amazon.com/HiLetgo-ESP-WROOM-32-Development-Microcontroller-Integrated/dp/B0718T232Z/ref=sr_1_4?sr=8-4,,
"0.96"" OLED Display",128x64 I2C OLED Display,1,6.99,6.99,https://www.amazon.com/HiLetgo-Serial-128X64-Display-Color/dp/B06XRBTBTB/ref=sr_1_6?sr=8-6 ,,
Push Buttons,4-pin tactile push buttons,5,0.05,0.25,https://www.amazon.com/Momentary-Pushbutton-Switches-Breadboard-Electronic/dp/B09R47N37H/ref=sr_1_1_sspa?sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY,,
Active Buzzer,5V active buzzer module,1,0.1,0.1,https://www.amazon.com/Cylewet-Electronic-Magnetic-Continuous-Arduino/dp/B01N7NHSY6/ref=sr_1_1?sr=8-1,,
Green LED,5mm LED (any color),1,0.1,0.1,https://www.amazon.com/California-JOS-50-PCS-Colorful/dp/B0CR886L92/ref=sr_1_1?sr=8-1,,
220Ω Resistor,1/4W resistor,1,0.05,0.05,https://www.amazon.com/Resistor-Tolerance-Resistors-Limiting-Certificated/dp/B08QRFCMC9/ref=sr_1_3?sr=8-3,,
Breadboard,400 point breadboard,1,2,2,https://www.amazon.com/Pcs-MCIGICM-Points-Solderless-Breadboard/dp/B07PCJP9DY/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Nzs7R0SjVHIxVvEThRpOz3OV141HeqxNekvumBTWQRQfMLmmuW9Atr6MQH_83WEZ5DE9Q251qNG7HHmZI2xRMsrNWNPASL6pztf06jyiQOkPmNBXWi979a6yCROdqVsEhGDbo5tyFJAKpTTc6faKhThZw3xLJzxsfh52aUj5Cc4rJJmJRQwHpuSEGzcTPBRPEXqSLoxfoKPtZeaOF2Hw-je8_SmC2zERSpt13Ju_OcE.Mnv13Vls3G28PDcq4LiDeN-5_ojie4t5CMNX621SyR0&dib_tag=se&keywords=400+point+breadboard&qid=1761667292&sr=8-1,,
Jumper Wires,Male-to-Male pack,1,3,3,https://www.amazon.com/California-JOS-Breadboard-Optional-Multicolored/dp/B0BRTJQZRD/ref=sr_1_1?sr=8-1,,
Jumper Wires,Male-to-Female pack,1,3,3,https://www.amazon.com/California-JOS-Breadboard-Optional-Multicolored/dp/B0BRTJQGS6/ref=sr_1_2?sr=8-2,,
,,,Grand Total,$34,,,
,,,,,,,
